id;kategorie_id;kuerzel;titel;beschreibung
1;1;;Thema;Oberstes elment in der Hiearchie der Geschäftsobjekte
2;1;;Handlungsfeld;Oberstes elment innerhalb eines Themas
3;1;;Ziel;Oberstes Element innerhalb eines Handlungsfeldes
4;1;;Massnahme;Oberstes Elment innerhalb eines Ziels
5;2;;neu;neue Massnahme
6;2;;bestehend;bestehende Massnahme
7;3;;Projektleitung;Person, die für die Umsetzung der Massnahme verantwortlich ist
8;3;;Mitwirkung;Mitwirkung bei Massnahme

